r,l,t
163.14984,1000,894.012634
68.843701,154,894.400354
156.252127,1000,896.801657
121.253311,1000,898.679138
146.263662,1000,900.987017
74.810039,203,901.421132
164.278368,1000,903.875347
36.004027,176,904.078409
160.076157,1000,906.57678
189.600825,1000,908.625261
127.898424,1000,910.736743
136.064436,1000,913.536988
152.266737,1000,915.628866
170.971269,1000,918.006125
133.345479,1000,920.42416
152.973758,1000,922.874619
159.478282,1000,925.020187
171.74716,1000,927.101856
152.507307,1000,929.148598
168.536293,1000,931.314036
156.330921,1000,933.611398
144.458834,1000,935.860483
127.449385,1000,938.338517
129.270307,1000,940.241635
117.17595,1000,942.893174
173.7575,1000,945.342732
125.800703,1000,947.425009
148.112599,1000,949.439271
136.075969,1000,951.406523
151.544854,1000,953.365982
176.378441,1000,955.407702
144.883639,1000,958.250239
185.613397,1000,960.510658
183.201746,1000,962.961352
192.892129,1000,965.126417
174.653359,1000,967.612529
175.842024,1000,969.818578
138.034108,1000,972.700707
-25.23279,222,972.979141
190.091624,1000,975.316761
118.605684,1000,977.957047
15.03378,208,978.20427
107.383014,1000,980.587761
160.186272,1000,983.515064
10.25721,197,983.966229
129.683602,1000,986.710764
141.163845,1000,989.286379
145.34073,1000,991.81842
19.376209,243,992.10824
191.489498,1000,994.181944
157.15344,1000,996.847769
142.812422,1000,998.914045
168.761086,1000,1001.421015
188.474433,1000,1003.862015
145.368746,1000,1006.188188
139.416467,1000,1008.597161
158.083636,1000,1010.866323
10.251975,229,1011.148576
-23.314804,208,1011.391971
128.886951,1000,1013.866755
118.834674,1000,1016.308937
34.551424,196,1016.561223
161.0086,1000,1018.907665
211.25352,852,1020.825685
-14.792314,246,1021.141974
98.550265,1000,1024.130328
161.572698,1000,1026.340922
154.354646,1000,1028.553482
84.108965,1000,1030.730482
119.001226,1000,1033.766816
146.164838,1000,1036.029985
177.668168,1000,1038.631943
145.824759,1000,1041.558567
-10.862402,301,1041.959032
131.480296,1000,1044.641603
148.528684,1000,1047.658051
164.427646,1000,1050.196094
106.823465,1000,1052.689152
152.719091,1000,1055.462819
165.213475,1000,1058.640172
114.530645,1000,1061.702744
151.821116,1000,1063.758604
132.934879,1000,1066.533466
151.094896,1000,1068.83841
150.101471,1000,1071.314762
136.571159,1000,1073.276302
148.460188,1000,1076.230027
163.675223,1000,1078.621662
181.14925,1000,1081.268749
173.750724,1000,1084.115029
139.474775,1000,1086.692293
123.528614,1000,1089.348152
152.412575,1000,1091.664647
170.615181,1000,1094.474177
180.595386,1000,1096.783942
156.882225,1000,1099.419348
134.801045,1000,1102.380028
164.100235,1000,1105.063707
149.091537,1000,1107.638162
109.63283,1000,1109.875622
107.091515,1000,1112.62431
153.036929,1000,1115.044295
162.859593,1000,1117.300678
145.559903,1000,1119.725419
141.446744,1000,1122.694017
100.448539,1000,1125.967329
172.740299,1000,1128.226866
131.543359,1000,1130.301905
153.118849,1000,1133.149604
122.060001,1000,1135.152958
139.886751,1000,1137.754365
151.763439,1000,1140.503994
170.694503,1000,1142.679499
168.267989,1000,1144.768131
119.654219,1000,1147.701391
133.782671,1000,1149.717492
150.054132,1000,1151.875138
127.670063,1000,1154.175864
151.198109,1000,1156.575214
174.230097,1000,1159.559216
121.814306,1000,1162.260101
181.96142,1000,1164.863131
154.043327,1000,1167.565089
132.850101,1000,1170.040778
159.467067,1000,1173.0819
177.067492,1000,1175.015049
166.269462,1000,1177.04174
119.065272,1000,1179.801971
239.677343,966,1181.970576
143.50884,1000,1184.379732
102.493384,1000,1186.95355
155.147075,1000,1189.386121
173.169537,1000,1191.953746
169.140942,1000,1194.797065
164.91821,1000,1197.223361
170.480814,1000,1199.725594
139.316024,1000,1201.677564
132.13334,1000,1203.911391
128.183829,1000,1206.929477
178.220048,1000,1209.607955
145.953812,1000,1212.026677
141.289287,1000,1214.62035
159.769515,1000,1217.089979
120.429872,1000,1219.525789
121.935576,1000,1222.068888
154.659489,1000,1224.627571
170.245684,1000,1227.199003
141.096526,1000,1229.774566
128.511234,1000,1232.449967
156.09692,1000,1234.876053
192.998671,1000,1236.613425
114.654445,1000,1238.734659
174.821763,1000,1241.285257
166.006798,1000,1243.923998
160.561272,1000,1246.689628
127.169101,1000,1248.895185
183.822542,1000,1251.063073
172.383779,1000,1253.663051
143.090437,1000,1256.538819
163.329985,1000,1259.029032
151.462453,1000,1261.878222
153.067725,1000,1264.455803
34.349339,225,1264.756336
159.613975,1000,1267.720974
145.59113,1000,1270.576004
187.913321,1000,1272.61706
182.211864,1000,1274.906981
164.860618,1000,1277.594636
182.341579,1000,1279.783856
142.961727,1000,1282.344092
146.672503,1000,1284.723843
149.501282,1000,1287.220829
169.703594,1000,1289.278914
121.336517,1000,1291.509578
161.068821,1000,1293.847816
165.198719,1000,1296.536576
155.063091,1000,1298.832494
146.433261,1000,1301.193579
134.079525,1000,1303.527444
147.996222,1000,1306.062266
161.909975,1000,1308.211655
180.028134,1000,1310.177972
165.888459,1000,1312.813148
132.185767,1000,1315.205662
173.109767,1000,1317.242238
172.330429,1000,1319.645705
134.589677,1000,1322.340952
160.099346,1000,1324.93315
167.805328,1000,1327.142191
159.899997,1000,1330.121331
134.977628,1000,1332.604399
175.351007,1000,1334.825567
142.399076,1000,1337.113204
144.535731,1000,1339.487427
165.606903,1000,1342.140837
150.176258,1000,1344.594141
158.315809,1000,1347.016735
156.760627,1000,1348.971574
151.663596,1000,1351.498161
142.88129,1000,1354.019989
146.538425,1000,1356.045971
130.165699,1000,1358.614339
157.343333,1000,1360.919166
181.164834,1000,1362.827695
188.650262,1000,1364.766905
152.218958,1000,1366.849449
183.957411,1000,1369.408977
123.546274,1000,1372.115129
168.005733,1000,1374.221817
150.247883,1000,1376.663848
180.536336,1000,1379.166132
146.492367,1000,1381.901676
143.939894,1000,1384.207545
155.606139,1000,1386.205895
162.164612,1000,1388.682185
59.328451,203,1388.92693
145.066689,1000,1391.21523
154.845908,1000,1393.197421
150.776504,1000,1396.253972
184.952473,1000,1398.487602
150.096212,1000,1400.8278
194.497359,1000,1403.211711
89.48202,1000,1405.641081
110.031164,1000,1408.090939
123.933845,1000,1410.467563
165.006679,1000,1412.991856
165.583694,1000,1415.084693
206.900262,317,1415.599293
147.252775,1000,1418.486277
103.30014,1000,1420.586964
146.832718,1000,1423.11489
131.556331,1000,1426.017933
111.143443,1000,1428.788298
62.700377,203,1429.250972
146.932911,1000,1431.866049
136.659229,1000,1434.46145
131.354273,1000,1436.692917
122.941761,1000,1440.097437
174.543808,1000,1442.303427
109.783822,1000,1444.823891
127.091782,1000,1447.337385
27.915154,221,1447.799038
-21.732282,276,1448.172955
107.077285,1000,1451.188966
120.077125,1000,1453.759732
157.052664,1000,1456.131216
179.990768,1000,1458.132271
116.623948,1000,1460.355774
157.319794,1000,1462.363494
141.247568,581,1463.547014
190.994015,1000,1465.64979
186.902999,496,1466.702031
10.918809,230,1466.977792
129.834935,1000,1469.302964
-40.875703,237,1469.603194
231.277471,267,1469.971377
148.640806,1000,1471.976318
149.353865,1000,1474.379912
140.223894,1000,1476.410508
103.216207,1000,1478.964194
181.789657,1000,1481.926059
158.764576,1000,1483.91202
163.96247,1000,1485.833689
17.221134,217,1486.293348
60.327242,209,1486.550596
196.227625,1000,1488.536706
148.19947,1000,1490.733502
180.759912,358,1491.27525
10.538014,183,1491.49068
-4.680589,231,1491.783736
182.427296,1000,1493.894771
129.794194,1000,1496.212423
140.610806,1000,1498.482284
-35.818107,210,1498.929161
201.280287,357,1499.47942
-38.073189,229,1499.74898
179.357891,1000,1501.886934
202.83575,490,1503.06882
165.139794,1000,1505.982488
254.393919,272,1506.35207
129.035513,1000,1508.550969
120.543593,1000,1511.455694
150.042952,1000,1513.701811
94.953137,1000,1515.980973
187.545354,1000,1517.939394
155.541871,1000,1519.835812
149.107999,1000,1521.682855
189.311625,1000,1523.499452
130.974743,1000,1525.698474
200.183859,1000,1527.94275
199.890157,238,1528.248154
128.497414,1000,1530.468158
159.201095,1000,1532.795302
119.34815,1000,1535.022781
194.52824,1000,1537.04353
171.762414,1000,1538.930104
151.752055,1000,1541.214892
267.413491,441,1541.894881
8.788967,187,1542.107844
142.630785,1000,1544.804296
151.949166,1000,1547.080583
102.339037,1000,1549.498455
43.672136,173,1549.698893
66.853005,170,1550.103485
137.626934,1000,1552.144139
49.958231,177,1552.358982
128.647324,1000,1554.492424
13.994653,178,1554.702749
177.698209,1000,1556.921217
149.53688,1000,1559.059612
135.454906,1000,1561.545293
128.793796,1000,1563.788395
76.271784,149,1563.958373
33.818992,197,1564.1844
157.233515,1000,1566.366663
18.306971,194,1566.591486
-2.369943,198,1566.808809
